size,se,coef
10000,0.10348676059550119,leg1ModeCarExpress
10000,0.09915244867952581,leg1ModeUberTaxi
10000,0.09960083450927026,leg1ModeBus
10000,0.09507597145173417,leg2ModeWalk
10000,0.07419198364751983,leg2ModeUberTaxi
10000,0.03537926897425427,leg2ModeBus
10000,0.007405136794187954,leg1Time
10000,0.0020335294332954755,leg2Time
10000,0.0018854119862801615,transfer1Time
10000,0.002299782159663135,transfer2Time
10000,0.01224718313994994,tripTimeUnc0_1
10000,0.012247302350427,tripTimeUnc0_2
10000,0.0075290045037916765,intTime1Car
10000,0.0075274999250630635,intTime1CarExpress
10000,0.007496133606542299,intTime1Taxi
10000,0.007521103665496066,intTime1Bus
10000,0.007665257895968479,intTime2Walk
10000,0.004991140400496515,intTime2Taxi
