x,y,label,type,respID,qID,altID,obsID
0,0,Start (5 min wait),Node,1573,1,1,9433
0,0.16666666666666666,Bus,Vehicle,1573,1,1,9433
0,0.3333333333333333,Transfer (5 min wait),Node,1573,1,1,9433
0,0.5,Bus,Vehicle,1573,1,1,9433
0,0.6666666666666666,Transfer (5 min wait),Node,1573,1,1,9433
0,0.8333333333333333,Bus,Vehicle,1573,1,1,9433
0,1,End,Node,1573,1,1,9433
0,0,Start (5 min wait),Node,1573,1,2,9433
0,0.16666666666666666,Bus,Vehicle,1573,1,2,9433
0,0.3333333333333333,Transfer (5 min wait),Node,1573,1,2,9433
0,0.5,Bus,Vehicle,1573,1,2,9433
0,0.6666666666666666,Transfer (10 min wait),Node,1573,1,2,9433
0,0.8333333333333333,Taxi,Vehicle,1573,1,2,9433
0,0.9166666666666666,Walk (5 min),Walk,1573,1,2,9433
0,1,End,Node,1573,1,2,9433
0,0,Start (10 min wait),Node,1573,1,3,9433
0,0.16666666666666666,Uber/Lyft,Vehicle,1573,1,3,9433
0,0.3333333333333333,Transfer (5 min wait),Node,1573,1,3,9433
0,0.5,Bus,Vehicle,1573,1,3,9433
0,0.6666666666666666,Transfer (10 min wait),Node,1573,1,3,9433
0,0.8333333333333333,Taxi,Vehicle,1573,1,3,9433
0,0.9166666666666666,Walk (5 min),Walk,1573,1,3,9433
0,1,End,Node,1573,1,3,9433
0,0,Start (10 min wait),Node,1573,2,1,9434
0,0.125,Walk (10 min),Walk,1573,2,1,9434
0,0.25,Uber/Lyft,Vehicle,1573,2,1,9434
0,0.5,Transfer (10 min wait),Node,1573,2,1,9434
0,0.75,Bus,Vehicle,1573,2,1,9434
0,1,End,Node,1573,2,1,9434
0,0,Start,Node,1573,2,2,9434
0,0.08333333333333333,Walk (5 min),Walk,1573,2,2,9434
0,0.16666666666666666,Car,Vehicle,1573,2,2,9434
0,0.3333333333333333,Transfer (5 min wait),Node,1573,2,2,9434
0,0.5,Bus,Vehicle,1573,2,2,9434
0,0.6666666666666666,Transfer (10 min wait),Node,1573,2,2,9434
0,0.8333333333333333,Uber/Lyft,Vehicle,1573,2,2,9434
0,1,End,Node,1573,2,2,9434
0,0,Start,Node,1573,2,3,9434
0,0.08333333333333333,Walk (5 min),Walk,1573,2,3,9434
0,0.16666666666666666,Car,Vehicle,1573,2,3,9434
0,0.3333333333333333,Transfer (10 min wait),Node,1573,2,3,9434
0,0.5,Bus,Vehicle,1573,2,3,9434
0,0.6666666666666666,Transfer (10 min wait),Node,1573,2,3,9434
0,0.8333333333333333,Uber/Lyft,Vehicle,1573,2,3,9434
0,0.9166666666666666,Walk (10 min),Walk,1573,2,3,9434
0,1,End,Node,1573,2,3,9434
0,0,Start,Node,1573,3,1,9435
0,0.08333333333333333,Walk (5 min),Walk,1573,3,1,9435
0,0.16666666666666666,Car,Vehicle,1573,3,1,9435
0,0.3333333333333333,Transfer (5 min wait),Node,1573,3,1,9435
0,0.5,Bus,Vehicle,1573,3,1,9435
0,0.6666666666666666,Transfer (5 min wait),Node,1573,3,1,9435
0,0.8333333333333333,Uber/Lyft,Vehicle,1573,3,1,9435
0,0.9166666666666666,Walk (10 min),Walk,1573,3,1,9435
0,1,End,Node,1573,3,1,9435
0,0,Start,Node,1573,3,2,9435
0,0.08333333333333333,Walk (10 min),Walk,1573,3,2,9435
0,0.16666666666666666,Car,Vehicle,1573,3,2,9435
0,0.3333333333333333,Transfer (10 min wait),Node,1573,3,2,9435
0,0.5,Bus,Vehicle,1573,3,2,9435
0,0.6666666666666666,Transfer (10 min wait),Node,1573,3,2,9435
0,0.8333333333333333,Uber/Lyft,Vehicle,1573,3,2,9435
0,1,End,Node,1573,3,2,9435
0,0,Start (5 min wait),Node,1573,3,3,9435
0,0.125,Walk (10 min),Walk,1573,3,3,9435
0,0.25,Taxi,Vehicle,1573,3,3,9435
0,0.5,Transfer (5 min wait),Node,1573,3,3,9435
0,0.75,Bus,Vehicle,1573,3,3,9435
0,0.875,Walk (10 min),Walk,1573,3,3,9435
0,1,End,Node,1573,3,3,9435
0,0,Start,Node,1573,4,1,9436
0,0.16666666666666666,Car,Vehicle,1573,4,1,9436
0,0.3333333333333333,Transfer (5 min wait),Node,1573,4,1,9436
0,0.5,Bus,Vehicle,1573,4,1,9436
0,0.6666666666666666,Transfer (10 min wait),Node,1573,4,1,9436
